"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Nevada"	"32"	"2023"	"2023"	"August"	"8"	2874
	"Nevada"	"32"	"2023"	"2023"	"September"	"9"	2702
	"Nevada"	"32"	"2023"	"2023"	"October"	"10"	2760
	"Nevada"	"32"	"2023"	"2023"	"November"	"11"	2661
	"Nevada"	"32"	"2023"	"2023"	"December"	"12"	2708
	"Nevada"	"32"	"2024"	"2024"	"January"	"1"	2560
	"Nevada"	"32"	"2024"	"2024"	"February"	"2"	2492
	"New Hampshire"	"33"	"2023"	"2023"	"January"	"1"	930
	"New Hampshire"	"33"	"2023"	"2023"	"February"	"2"	874
	"New Hampshire"	"33"	"2023"	"2023"	"March"	"3"	1006
	"New Hampshire"	"33"	"2023"	"2023"	"April"	"4"	969
	"New Hampshire"	"33"	"2023"	"2023"	"May"	"5"	1012
	"New Hampshire"	"33"	"2023"	"2023"	"June"	"6"	1066
	"New Hampshire"	"33"	"2023"	"2023"	"July"	"7"	1084
	"New Hampshire"	"33"	"2023"	"2023"	"August"	"8"	1108
	"New Hampshire"	"33"	"2023"	"2023"	"September"	"9"	979
	"New Hampshire"	"33"	"2023"	"2023"	"October"	"10"	1034
	"New Hampshire"	"33"	"2023"	"2023"	"November"	"11"	952
	"New Hampshire"	"33"	"2023"	"2023"	"December"	"12"	921
